Date,Location,Class,Course week,Year week,Day,Time,Notes,Teacher,Location,Prep,Topic,
24-08-2026,,1,1,35,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,Course intro & intro to modelling,
27-08-2026,,2,1,35,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,,Model formulation,
31-08-2026,,3,2,36,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,Solving and formulating,
03-09-2026,,4,2,36,Thursday,10:00-12:00,Anne and Peter out,Sasha,Online,,Heat transfer,
07-09-2026,,5,3,37,Monday,14:00-16:00,,Sasha,Online,Chapter 4,Heat transfer,
10-09-2026,,6,3,37,Thursday,10:00-12:00,,Sasha,Online,Chapter 5,Mass transfer,
14-09-2026,,7,4,38,Monday,14:00-16:00,FRD vacation,Sasha,5250-235 HA 2,,Mass transfer,
17-09-2026,,8,4,38,Thursday,10:00-12:00,FRD vacation,Sasha,5250-235 HA 2,,Chemical reactions & microbiology,
21-09-2026,,9,5,39,Monday,14:00-16:00,,Sasha,5250-235 HA 2,,Mini-project 1,
24-09-2026,,10,5,39,Thursday,10:00-12:00,,Sasha (EmiLi),5250-235 HA 2,,Mini-project 1,
28-09-2026,,11,6,40,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,Mini-project 1,
01-10-2026,,12,6,40,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,,"Spatial models, PDEs, control volume, nodes",
05-10-2026,,13,7,41,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,"Spatial models, boundary conditions",
08-10-2026,,14,7,41,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,,Spatial models,
12-10-2026,,Break,,42,,,,,,,,
15-10-2026,,Break,,42,,,,,,,,
19-10-2026,,15,8,43,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,Spatial models,
22-10-2026,,16,8,43,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,,Spatial models,
26-10-2026,,17,9,44,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,Chapter 7,Spatial models,
29-10-2026,,18,9,44,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,Chapter 7,Spatial models,
02-11-2026,,19,10,45,Monday,14:00-16:00,FRD travelling,Sasha,5250-235 HA 2,Chapter 8,Verification,
05-11-2026,,20,10,45,Thursday,10:00-12:00,FRD travelling,Sasha,5250-235 HA 2,Chapter 8,Validation,
09-11-2026,,21,11,46,Monday,14:00-16:00,,Sasha,5250-235 HA 2,Chapter 9,Parameter estimation,
12-11-2026,,22,11,46,Thursday,10:00-12:00,,Sasha ,5250-235 HA 2,Chapter 10,Time-variable inputs,
16-11-2026,,23,12,47,Monday,14:00-16:00,,Frederik,5250-235 HA 2,,Mini-project 2,
19-11-2026,,24,12,47,Thursday,10:00-12:00,,Sasha,Online,,Mini-project 2,
23-11-2026,,25,13,48,Monday,14:00-16:00,,Sasha,Online,,Mini-project 2,
26-11-2026,,26,13,48,Thursday,10:00-12:00,,Frederik ,5250-235 HA 2,,Buffer,
30-11-2026,,27,14,49,Monday,14:00-16:00,,Frederik ,5250-235 HA 2,,Exam project,
03-12-2026,,28,14,49,Thursday,10:00-12:00,Anne and Peter out,Frederik ,5250-235 HA 2,,Exam project,
